,Parent,Code,Accounts for New T&Q,Account_Name,Account Code,State,Zip_Code,Territory,Cluster,Sub-Region,Named_Account,test,Named-Account Override,Region,City,Fortune_Number,Fortune,Industry,Employees,PYSales,Annual_Revenue_(M),Wallet_Share,Sub-Territory,Segment,New Industry,New Segment,Revenue Band
Zoological Society of San Diego,Total Accounts,16166,false,Zoological Society of San Diego,16166,CA,92101,CA,Southwest Cluster #2,Southwest,false,false,false,USA,San Diego,0,false,Local,156,73818,240.3,0.27,East,Mid Market,,Mid Market,"$100 - $1,000M"
Zones,Total Accounts,16165,true,Zones,16165,WA,98001,WA,Northwest Cluster #2,Northwest,false,false,false,USA,Auburn,0,false,IT Services,112,125032,154.3,0.69,West,Mid Market,Technology,Mid Market,"$100 - $1,000M"
ZOLL Medical,Total Accounts,16164,true,ZOLL Medical,16164,MA,01824,MA,NE Cluster #3,Northeast,false,false,false,USA,Chelmsford,0,false,Medical Devices,549,139702,523.7,0.81,North,Enterprise,Healthcare,Enterprise,"$100 - $1,000M"
Zoetis,Total Accounts,16163,true,Zoetis,16163,NY,07940,NY,New York Cluster #1,New York,false,false,false,USA,Madison,0,false,Pharmaceuticals,1274,116044,4336,0.59,East,Enterprise,Healthcare,Enterprise,"$1,000 - $5,000M"
Zodiac Aerospace,Total Accounts,16162,true,Zodiac Aerospace,16162,CA,92647,CA,Southwest Cluster #2,Southwest,false,true,false,USA,Huntington Beach,0,false,Manufacturing - Durables,4717,660354,3070,0.99,East,Enterprise,Manufacturing,Enterprise,"$1,000 - $5,000M"
ZMC Hotels,Total Accounts,16161,true,ZMC Hotels,16161,MN,55806,MN,Midwest Cluster #1,Midwest,false,false,false,USA,Duluth,0,false,Leisure,2527,73380,9.206,0.81,East,Mid Market,Consumer,Mid Market,$0 - $50M
Zix Corporation,Total Accounts,16160,true,Zix Corporation,16160,TX,75204,TX West,Texas Cluster #1,Texas,false,false,false,USA,Dallas,0,false,IT Services,3497,66455,43.36,0.73,East,Mid Market,Technology,Mid Market,$0 - $50M
ZirMed,Total Accounts,16159,true,ZirMed,16159,KY,40202,KY,Rust Belt Cluster #1,Rust Belt,false,false,false,USA,Louisville,0,false,IT Services,894,64344,12.6,0.55,East,Mid Market,Technology,Mid Market,$0 - $50M
ZipRealty,Total Accounts,16158,true,ZipRealty,16158,CA,94608,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Emeryville,0,false,Services,3735,47342,73.82,0.08,West,Mid Market,Services,Mid Market,$50 - $100M
Zippo Manufacturing,Total Accounts,16157,true,Zippo Manufacturing,16157,PA,16701,PA,NE Cluster #1,Northeast,false,false,false,USA,Bradford,0,false,Consumer Products,668,85375,400,0.8,South,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
Zipcar,Total Accounts,16156,true,Zipcar,16156,MA,02163,MA,NE Cluster #3,Northeast,false,false,false,USA,Cambridge,0,false,Services,3623,25424,278.9,0.02,West,Mid Market,Services,Mid Market,"$100 - $1,000M"
Zions Bank,Total Accounts,16155,true,Zions Bank,16155,UT,84133,UT,Plains Cluster #2,Plains,false,false,false,USA,Salt Lake City,895,true,Banking,3987,258335,2279,0.68,North,Enterprise,Banking,Enterprise,"$1,000 - $5,000M"
Zinpro Corporation,Total Accounts,16154,true,Zinpro Corporation,16154,MN,55344,MN,Midwest Cluster #1,Midwest,false,false,false,USA,Eden Prairie,0,false,Manufacturing - Non-Durables,1360,119029,29,0.78,North,Mid Market,Manufacturing,Mid Market,$0 - $50M
ZINK Imaging,Total Accounts,16153,true,ZINK Imaging,16153,MA,01730,MA,NE Cluster #3,Northeast,false,false,false,USA,Bedford,0,false,Services,4999,88402,15.7,0.86,East,Key Accounts,Services,Enterprise,$0 - $50M
Zinio,Total Accounts,16152,true,Zinio,16152,CA,94104,CA,Southwest Cluster #2,Southwest,false,false,false,USA,San Fransisco,0,false,Media,2186,69566,0.57,0.69,North,Mid Market,Telecom,Mid Market,$0 - $50M
Zimmerman Advertising,Total Accounts,16151,true,Zimmerman Advertising,16151,FL,33309,FL,Southeast Cluster #1,Southeast,false,false,false,USA,Ft. Lauderdale,0,false,Media,2209,165460,1150,0.62,North,Enterprise,Telecom,Enterprise,"$1,000 - $5,000M"
Zimmer Holdings,Total Accounts,16150,true,Zimmer Holdings,16150,IN,46580,IN,Midwest Cluster #1,Midwest,false,false,false,USA,Warsaw,531,true,Medical Devices,3799,654809,4623,0.97,North,Enterprise,Healthcare,Enterprise,"$1,000 - $5,000M"
Zimmer Gunsul Frasca Architects,Total Accounts,16149,true,Zimmer Gunsul Frasca Architects,16149,OR,97205,OR,Northwest Cluster #2,Northwest,false,false,false,USA,Portland,0,false,Services,4052,105472,125.5,0.24,South,Mid Market,Services,Mid Market,"$100 - $1,000M"
Zimbrick,Total Accounts,16148,true,Zimbrick,16148,WI,53713,WI,Midwest Cluster #2,Midwest,false,false,false,USA,Madison,0,false,Retail,485,71605,103.9,0.74,South,Mid Market,Consumer,Mid Market,"$100 - $1,000M"
Zillow,Total Accounts,16147,true,Zillow,16147,WA,98101,WA,Northwest Cluster #2,Northwest,false,false,false,USA,Seattle,0,false,Services,702,91121,116.9,0.32,North,Enterprise,Services,Enterprise,"$100 - $1,000M"
Zilliant,Total Accounts,16146,true,Zilliant,16146,TX,78701,TX West,Texas Cluster #1,Texas,false,false,false,USA,Austin,0,false,Services,2043,62349,13.8,0.26,East,Mid Market,Services,Mid Market,$0 - $50M
Zilber,Total Accounts,16145,true,Zilber,16145,WI,53203,WI,Midwest Cluster #2,Midwest,false,false,false,USA,Milwaukee,0,false,Services,2747,249111,15,0.84,West,Mid Market,Services,Mid Market,$0 - $50M
Zila Pharmaceuticals,Total Accounts,16144,true,Zila Pharmaceuticals,16144,AR,72501,AR,Southeast Cluster #2,Southeast,false,false,false,USA,Batesville,0,false,Medical Devices,1735,50498,1.6,0.72,East,Mid Market,Healthcare,Mid Market,$0 - $50M
Ziff Davis,Total Accounts,16143,true,Ziff Davis,16143,NY,10016,NY,New York Cluster #1,New York,false,false,false,USA,New York,0,false,Media,1897,59184,1154,0.68,West,Enterprise,Telecom,Enterprise,"$1,000 - $5,000M"
ZF Group NAO,Total Accounts,16142,true,ZF Group NAO,16142,MI,48167,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Northville,0,false,Manufacturing - Durables,1808,124936,1359,0.51,West,Enterprise,Manufacturing,Enterprise,"$1,000 - $5,000M"
Zeus Industrial Products,Total Accounts,16141,true,Zeus Industrial Products,16141,SC,29116,SC,Atlantic Coast Cluster #1,Atlantic Coast,false,false,false,USA,Orangeburg,0,false,Manufacturing - Durables,1900,90662,200,0.93,North,Enterprise,Manufacturing,Enterprise,"$100 - $1,000M"
ZeroChaos,Total Accounts,16140,true,ZeroChaos,16140,FL,32801,FL,Southeast Cluster #1,Southeast,false,false,false,USA,Orlando,0,false,Professional Services,667,146490,1100,0.59,West,Enterprise,Services,Enterprise,"$1,000 - $5,000M"
Zep Inc.,Total Accounts,16139,true,Zep Inc.,16139,GA,30318,GA,Southeast Cluster #1,Southeast,false,false,false,USA,Atlanta,0,false,Chemicals,2407,199791,653.5,0.64,South,Enterprise,Energy,Enterprise,"$100 - $1,000M"
ZenSar Technologies,Total Accounts,16138,true,ZenSar Technologies,16138,MA,01580,MA,NE Cluster #3,Northeast,false,false,false,USA,Westborough,0,false,IT Services,2456,94976,25.3,0.1,East,Mid Market,Technology,Mid Market,$0 - $50M
Zenoss,Total Accounts,16137,true,Zenoss,16137,TX,78730,TX West,Texas Cluster #1,Texas,false,false,false,USA,Austin,0,false,IT Services,3984,44916,4.7,0.53,North,Mid Market,Technology,Mid Market,$0 - $50M
Zenith National Insurance,Total Accounts,16136,true,Zenith National Insurance,16136,CA,91367,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Woodland Hills,0,false,Insurance,570,56442,1100,0.18,West,Mid Market,Insurance,Mid Market,"$1,000 - $5,000M"
Zenith Information Systems,Total Accounts,16135,true,Zenith Information Systems,16135,CA,91356,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Tarzana,0,false,IT Services,3260,8767,2,0.02,East,Mid Market,Technology,Mid Market,$0 - $50M
Zenith American,Total Accounts,16134,true,Zenith American,16134,AZ,85298,AZ,Southwest Cluster #1,Southwest,false,false,false,USA,Gilbert,0,false,IT Services,998,35068,31.3,0.16,North,Mid Market,Technology,Mid Market,$0 - $50M
ZeniMax Media,Total Accounts,16133,true,ZeniMax Media,16133,VA,20850,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Rockville,0,false,Media,1814,65697,22.9,0.76,West,Mid Market,Telecom,Mid Market,$0 - $50M
Zeiders Enterprises,Total Accounts,16132,true,Zeiders Enterprises,16132,VA,22192,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Woodbridge,0,false,Services,3340,100357,55.16,0.49,South,Mid Market,Services,Mid Market,$50 - $100M
Zehnder's of Frankenmuth,Total Accounts,16131,true,Zehnder's of Frankenmuth,16131,MI,48734,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Frankenmuth,0,false,Leisure,849,69632,16.3,0.53,East,Mid Market,Consumer,Mid Market,$0 - $50M
Zebra Technologies Corporation,Total Accounts,16130,true,Zebra Technologies Corporation,16130,IL,60069,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Lincolnshire,0,false,IT Services,4133,293549,1040,0.98,North,Enterprise,Technology,Enterprise,"$1,000 - $5,000M"
Zazzle,Total Accounts,16129,true,Zazzle,16129,CA,94063,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Redwood City,0,false,Retail,339,37289,5.2,0.44,North,Mid Market,Consumer,Mid Market,$0 - $50M
Zayo Group,Total Accounts,16128,true,Zayo Group,16128,CO,80027,CO,Plains Cluster #1,Plains,false,true,false,USA,Louisville,0,false,Telecom,2870,701742,988.1,0.59,East,Enterprise,Telecom,Enterprise,"$100 - $1,000M"
Zaxby's Franchising,Total Accounts,16127,true,Zaxby's Franchising,16127,GA,30606,GA,Southeast Cluster #1,Southeast,false,false,false,USA,Athens,0,false,Restaurants,953,51506,500,0.05,East,Mid Market,Consumer,Mid Market,"$100 - $1,000M"
Zappos.com,Total Accounts,16126,true,Zappos.com,16126,NV,89074,NV,Southwest Cluster #1,Southwest,false,false,false,USA,Henderson,0,false,Retail,3213,119231,1000,0.16,South,Mid Market,Consumer,Mid Market,"$1,000 - $5,000M"
Zanett,Total Accounts,16125,true,Zanett,16125,IN,46032,IN,Midwest Cluster #1,Midwest,false,false,false,USA,Carmel,0,false,IT Services,1269,106421,48.04,0.32,West,Mid Market,Technology,Mid Market,$0 - $50M
Zane State College,Total Accounts,16124,true,Zane State College,16124,OH,43701,OH,Midwest Cluster #2,Midwest,false,false,false,USA,Zanesville,0,false,Higher Education,4903,153834,17.41,0.8,South,Key Accounts,Education,Enterprise,$0 - $50M
Zandex Health Care Corporation,Total Accounts,16123,true,Zandex Health Care Corporation,16123,OH,43701,OH,Midwest Cluster #2,Midwest,false,false,false,USA,Zanesville,0,false,Hospitals / Health Care,4218,68675,52.7,0.1,East,Mid Market,Healthcare,Mid Market,$50 - $100M
Zale Corporation,Total Accounts,16122,true,Zale Corporation,16122,TX,75038,TX West,Texas Cluster #1,Texas,false,false,false,USA,Irving,0,false,Retail,4759,249130,1867,0.31,North,Enterprise,Consumer,Enterprise,"$1,000 - $5,000M"
Zais Group,Total Accounts,16121,true,Zais Group,16121,NY,07701,NY,New York Cluster #1,New York,false,false,false,USA,Red Bank,0,false,Financial Services,3244,83640,10.9,0.28,West,Mid Market,Finance,Mid Market,$0 - $50M
ZAGG Inc.,Total Accounts,16120,true,ZAGG Inc.,16120,UT,84115,UT,Plains Cluster #2,Plains,false,false,false,USA,Salt Lake City,0,false,Consumer Products,461,301154,264.4,0.92,East,Mid Market,Consumer,Mid Market,"$100 - $1,000M"
Zacky Farms,Total Accounts,16119,true,Zacky Farms,16119,CA,93721,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Fresno,0,false,Consumer Products,2635,48657,500,0.09,North,Mid Market,Consumer,Mid Market,"$100 - $1,000M"
Zachry Holdings,Total Accounts,16118,true,Zachry Holdings,16118,TX,78221,TX West,Texas Cluster #1,Texas,false,false,false,USA,San Antonio,0,false,Services,2766,104035,1950,0.16,East,Mid Market,Services,Mid Market,"$1,000 - $5,000M"
Zachry Corporation,Total Accounts,16117,true,Zachry Corporation,16117,TX,78247,TX West,Texas Cluster #1,Texas,false,false,false,USA,San Antonio,0,false,Services,2389,105423,513.6,0.13,East,Mid Market,Services,Mid Market,"$100 - $1,000M"
Z Gallerie,Total Accounts,16116,true,Z Gallerie,16116,CA,90249,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Gardena,0,false,Retail,1947,129059,176.4,0.95,West,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
YWCA USA,Total Accounts,16115,false,YWCA USA,16115,VA,20036,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Washington,0,false,Non-Profit,2802,46487,2.44,0.63,West,Mid Market,,Mid Market,$0 - $50M
YuMe,Total Accounts,16113,true,YuMe,16113,CA,94063,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Redwood City,0,false,Media,3323,192382,151.1,0.89,South,Enterprise,Telecom,Enterprise,"$100 - $1,000M"
Yuma Regional Medical Center,Total Accounts,16112,true,Yuma Regional Medical Center,16112,AZ,85364,AZ,Southwest Cluster #1,Southwest,false,false,false,USA,Yuma,0,false,Hospitals / Health Care,862,341014,346.2,0.64,East,Enterprise,Healthcare,Enterprise,"$100 - $1,000M"
"Yuma County, AZ",Total Accounts,16111,false,"Yuma County, AZ",16111,AZ,85364,AZ,Southwest Cluster #1,Southwest,false,false,false,USA,Yuma,0,false,Local,2517,94327,68.1,0.6,West,Mid Market,,Mid Market,$50 - $100M
Yum Brands - Europe,Total Accounts,16110,true,Yum Brands - Europe,16110,TX,75024,TX West,Texas Cluster #1,Texas,false,false,false,USA,Plano,0,false,Restaurants,1350,75689,13633,0.07,North,Mid Market,Consumer,Mid Market,"$5,000 - $15,000M"
Yum Brands,Total Accounts,16109,true,Yum Brands,16109,KY,40213,KY,Rust Belt Cluster #1,Rust Belt,false,false,false,USA,Louisville,216,true,Restaurants,2681,45589,13084,0.08,West,Mid Market,Consumer,Mid Market,"$5,000 - $15,000M"
Yulista Management Services,Total Accounts,16108,true,Yulista Management Services,16108,AK,99507,AK,Southeast Cluster #1,Southeast,false,false,false,USA,Anchorage,0,false,Manufacturing - Durables,4941,63123,580,0.09,East,Key Accounts,Manufacturing,Enterprise,"$100 - $1,000M"
Yukon-Kuskokwim Health Corporation,Total Accounts,16107,true,Yukon-Kuskokwim Health Corporation,16107,AK,99559,AK,Southeast Cluster #1,Southeast,false,false,false,USA,Bethel,0,false,Hospitals / Health Care,2601,190555,148.7,0.77,East,Enterprise,Healthcare,Enterprise,"$100 - $1,000M"
Yuba Community College District,Total Accounts,16106,true,Yuba Community College District,16106,CA,95901,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Marysville,0,false,Higher Education,3413,39685,7.47,0.56,North,Mid Market,Education,Mid Market,$0 - $50M
YRC Worldwide,Total Accounts,16105,true,YRC Worldwide,16105,MO,66211,MO,Plains Cluster #1,Plains,false,true,false,USA,Overland Park,506,true,Logistics / Transportation,4089,624913,4865,0.81,South,Enterprise,Services,Enterprise,"$1,000 - $5,000M"
YP Holdings,Total Accounts,16104,true,YP Holdings,16104,CA,91203,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Glendale,0,false,Consumer Products,844,79426,3300,0.4,West,Enterprise,Consumer,Enterprise,"$1,000 - $5,000M"
Youth Villages,Total Accounts,16103,false,Youth Villages,16103,TN,38133,TN,Rust Belt Cluster #1,Rust Belt,false,false,false,USA,Memphis,0,false,Non-Profit,4702,122378,132.8,0.97,West,Enterprise,,Enterprise,"$100 - $1,000M"
Youth for Christ,Total Accounts,16102,false,Youth for Christ,16102,CO,80112,CO,Plains Cluster #1,Plains,false,false,false,USA,Englewood,0,false,Non-Profit,3106,52237,13.33,0.05,South,Mid Market,,Mid Market,$0 - $50M
Youth Development,Total Accounts,16101,true,Youth Development,16101,NM,87105,NM,Southwest Cluster #1,Southwest,false,false,false,USA,Albuquerque,0,false,Services,1554,79532,25.46,0.43,North,Mid Market,Services,Mid Market,$0 - $50M
Youth Advocate Programs,Total Accounts,16100,false,Youth Advocate Programs,16100,PA,17102,PA,NE Cluster #1,Northeast,false,false,false,USA,Harrisburg,0,false,Non-Profit,2915,165076,69.45,0.48,North,Mid Market,,Mid Market,$50 - $100M
Your Community Bank,Total Accounts,16099,true,Your Community Bank,16099,KY,47150,KY,Rust Belt Cluster #1,Rust Belt,false,false,false,USA,New Albany,0,false,Banking,4387,17680,41.94,0.02,South,Mid Market,Banking,Mid Market,$0 - $50M
Younger Optics,Total Accounts,16098,true,Younger Optics,16098,CA,90503,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Torrance,0,false,Manufacturing - Durables,4988,182964,79.8,0.89,North,Key Accounts,Manufacturing,Enterprise,$50 - $100M
Younger Brother Companies,Total Accounts,16097,true,Younger Brother Companies,16097,AZ,85345,AZ,Southwest Cluster #1,Southwest,false,false,false,USA,Peoria,0,false,Services,4553,43309,92.6,0.52,West,Mid Market,Services,Mid Market,$50 - $100M
Young's Market Company,Total Accounts,16096,true,Young's Market Company,16096,CA,92865,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Orange,0,false,Consumer Products,4556,265739,500,0,North,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
Young Men's and Young Women's Hebrew Association,Total Accounts,16095,false,Young Men's and Young Women's Hebrew Association,16095,NY,10040,NY,New York Cluster #1,New York,false,false,false,USA,New York,0,false,Non-Profit,1732,92312,79.42,0.18,West,Mid Market,,Mid Market,$50 - $100M
Young Life,Total Accounts,16094,false,Young Life,16094,CO,80903,CO,Plains Cluster #1,Plains,false,false,false,USA,Colorado Springs,0,false,Non-Profit,1825,97287,245.3,0.4,East,Enterprise,,Enterprise,"$100 - $1,000M"
Young Innovations,Total Accounts,16093,true,Young Innovations,16093,MO,63045,MO,Plains Cluster #1,Plains,false,false,false,USA,Earth City,0,false,Medical Devices,2589,60273,106.2,0.25,North,Mid Market,Healthcare,Mid Market,"$100 - $1,000M"
Young Broadcasting,Total Accounts,16092,true,Young Broadcasting,16092,NY,10022,NY,New York Cluster #1,New York,false,false,false,USA,New York,0,false,Media,2131,108896,159.7,0.4,East,Enterprise,Telecom,Enterprise,"$100 - $1,000M"
Young America,Total Accounts,16091,true,Young America,16091,MN,55346,MN,Midwest Cluster #1,Midwest,false,false,false,USA,Edina,0,false,Professional Services,3491,36602,32.2,0.03,South,Mid Market,Services,Mid Market,$0 - $50M
Young & Rubicam,Total Accounts,16090,true,Young & Rubicam,16090,NY,10017,NY,New York Cluster #1,New York,false,false,false,USA,New York,0,false,Professional Services,3822,355941,500,0.56,South,Enterprise,Services,Enterprise,"$100 - $1,000M"
Yoshinoya America,Total Accounts,16089,true,Yoshinoya America,16089,CA,90502,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Torrance,0,false,Restaurants,545,121765,163,0.85,North,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
Yosemite Community College District,Total Accounts,16088,true,Yosemite Community College District,16088,CA,95358,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Modesto,0,false,Higher Education,28,123536,89.87,0.7,South,Mid Market,Education,Mid Market,$50 - $100M
Yorktel,Total Accounts,16087,true,Yorktel,16087,NY,07724,NY,New York Cluster #1,New York,false,false,false,USA,Eatontown,0,false,Telecom,2352,120114,80.97,0.96,South,Mid Market,Telecom,Mid Market,$50 - $100M
York Newspaper Company,Total Accounts,16086,true,York Newspaper Company,16086,PA,17408,PA,NE Cluster #1,Northeast,false,false,false,USA,York,0,false,Media,2188,72443,11.8,0.65,East,Mid Market,Telecom,Mid Market,$0 - $50M
York Insurance Services,Total Accounts,16085,true,York Insurance Services,16085,NY,07054,NY,New York Cluster #1,New York,false,false,false,USA,Parsippany,0,false,Insurance,3263,106951,176.4,0.96,East,Enterprise,Insurance,Enterprise,"$100 - $1,000M"
York General Hospital,Total Accounts,16084,true,York General Hospital,16084,NE,68467,NE,Plains Cluster #1,Plains,false,false,false,USA,York,0,false,Hospitals / Health Care,4030,117624,36.34,0.35,East,Mid Market,Healthcare,Mid Market,$0 - $50M
Yonkers Construction,Total Accounts,16083,true,Yonkers Construction,16083,NY,10704,NY,New York Cluster #1,New York,false,false,false,USA,Yonkers,0,false,Services,1179,117391,500,0.35,South,Enterprise,Services,Enterprise,"$100 - $1,000M"
Yokohama Tire Corporation,Total Accounts,16082,true,Yokohama Tire Corporation,16082,CA,92831,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Fullerton,0,false,Manufacturing - Durables,2070,123761,500,0.22,East,Mid Market,Manufacturing,Mid Market,"$100 - $1,000M"
Yokogawa Corporation of America,Total Accounts,16081,true,Yokogawa Corporation of America,16081,GA,30265,GA,Southeast Cluster #1,Southeast,false,false,false,USA,Newnan,0,false,Manufacturing - Durables,3829,125510,49.5,0.21,South,Mid Market,Manufacturing,Mid Market,$0 - $50M
Yodlee,Total Accounts,16080,true,Yodlee,16080,CA,94065,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Redwood City,0,false,Services,2168,147398,33.3,0.73,North,Mid Market,Services,Mid Market,$0 - $50M
Yodle,Total Accounts,16079,true,Yodle,16079,NY,10010,NY,New York Cluster #1,New York,false,false,false,USA,New York,0,false,IT Services,1602,152769,132,0.91,North,Enterprise,Technology,Enterprise,"$100 - $1,000M"
Yoakum Community Hospital,Total Accounts,16078,true,Yoakum Community Hospital,16078,TX,77995,TX West,Texas Cluster #1,Texas,false,false,false,USA,Yoakum,0,false,Hospitals / Health Care,1916,117381,17.55,0.91,North,Mid Market,Healthcare,Mid Market,$0 - $50M
YMCA of the USA,Total Accounts,16077,false,YMCA of the USA,16077,IL,60606,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Chicago,0,false,Non-Profit,688,115138,15.2,0.91,North,Mid Market,,Mid Market,$0 - $50M
YMCA of the Pikes Peak Region,Total Accounts,16076,false,YMCA of the Pikes Peak Region,16076,CO,80903,CO,Plains Cluster #1,Plains,false,false,false,USA,Colorado Springs,0,false,Non-Profit,2318,140798,38.9,0.5,West,Mid Market,,Mid Market,$0 - $50M
YMCA of the North Shore,Total Accounts,16075,false,YMCA of the North Shore,16075,MA,01915,MA,NE Cluster #3,Northeast,false,false,false,USA,Beverly,0,false,Non-Profit,3025,115327,27.37,0.3,East,Mid Market,,Mid Market,$0 - $50M
YMCA of San Francisco,Total Accounts,16074,true,YMCA of San Francisco,16074,CA,94111,CA,Southwest Cluster #2,Southwest,false,false,false,USA,San Francisco,0,false,Leisure,2873,110464,63.15,0.42,South,Mid Market,Consumer,Mid Market,$50 - $100M
YMCA of San Diego County,Total Accounts,16073,false,YMCA of San Diego County,16073,IL,60606,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Chicago,0,false,Non-Profit,115,52602,463.3,0.2,South,Mid Market,,Mid Market,"$100 - $1,000M"
YMCA of Orange County,Total Accounts,16072,true,YMCA of Orange County,16072,CA,92780,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Tustin,0,false,Leisure,3884,141091,27.3,0.86,South,Mid Market,Consumer,Mid Market,$0 - $50M
YMCA of Greater Rochester,Total Accounts,16071,false,YMCA of Greater Rochester,16071,NY,14604,NY,New York Cluster #1,New York,false,false,false,USA,Rochester,0,false,Non-Profit,2528,82575,39.3,0.72,West,Mid Market,,Mid Market,$0 - $50M
YMCA of Greater Richmond,Total Accounts,16070,false,YMCA of Greater Richmond,16070,VA,23220,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Richmond,0,false,Non-Profit,3590,154899,37.34,0.42,North,Mid Market,,Mid Market,$0 - $50M
YMCA of Greater Providence,Total Accounts,16069,true,YMCA of Greater Providence,16069,MA,02901,RI,New York Cluster #2,New York,false,false,false,USA,Providence,0,false,Leisure,881,67442,63.3,0.26,North,Mid Market,Consumer,Mid Market,$50 - $100M
