,Parent,Code,Zips,Zips Item,SubTerritory,Patch,Territory Parent,Parent Reassign,ParentCode
16373,PA,16373,16373,16373,North,Cold,PA,PA,US-PA
16415,PA,16415,16415,16415,South,Cold,PA,PA,US-PA
16421,PA,16421,16421,16421,East,Cold,PA,PA,US-PA
16428,PA,16428,16428,16428,West,Cold,PA,PA,US-PA
16501,PA,16501,16501,16501,North,Cold,PA,PA,US-PA
16505,PA,16505,16505,16505,East,Cold,PA,PA,US-PA
16506,PA,16506,16506,16506,West,Cold,PA,PA,US-PA
16507,PA,16507,16507,16507,South,Cold,PA,PA,US-PA
16509,PA,16509,16509,16509,West,Cold,PA,PA,US-PA
16510,PA,16510,16510,16510,South,Cold,PA,PA,US-PA
16530,PA,16530,16530,16530,East,Cold,PA,PA,US-PA
16531,PA,16531,16531,16531,West,Cold,PA,PA,US-PA
16544,PA,16544,16544,16544,North,Cold,PA,PA,US-PA
16550,PA,16550,16550,16550,South,Cold,PA,PA,US-PA
16601,PA,16601,16601,16601,East,Cold,PA,PA,US-PA
16602,PA,16602,16602,16602,West,Cold,PA,PA,US-PA
16603,PA,16603,16603,16603,East,Cold,PA,PA,US-PA
16625,PA,16625,16625,16625,West,Cold,PA,PA,US-PA
16635,PA,16635,16635,16635,North,Cold,PA,PA,US-PA
16652,PA,16652,16652,16652,East,Cold,PA,PA,US-PA
16664,PA,16664,16664,16664,West,Cold,PA,PA,US-PA
16673,PA,16673,16673,16673,North,Cold,PA,PA,US-PA
16701,PA,16701,16701,16701,South,Cold,PA,PA,US-PA
16738,PA,16738,16738,16738,West,Cold,PA,PA,US-PA
16749,PA,16749,16749,16749,North,Cold,PA,PA,US-PA
16801,PA,16801,16801,16801,South,Cold,PA,PA,US-PA
16802,PA,16802,16802,16802,East,Cold,PA,PA,US-PA
16803,PA,16803,16803,16803,West,Cold,PA,PA,US-PA
16830,PA,16830,16830,16830,North,Cold,PA,PA,US-PA
16901,PA,16901,16901,16901,West,Cold,PA,PA,US-PA
16915,PA,16915,16915,16915,North,Cold,PA,PA,US-PA
16933,PA,16933,16933,16933,South,Cold,PA,PA,US-PA
17004,PA,17004,17004,17004,East,Cold,PA,PA,US-PA
17011,PA,17011,17011,17011,West,Warm,PA,PA,US-PA
17013,PA,17013,17013,17013,South,Cold,PA,PA,US-PA
17015,PA,17015,17015,17015,North,Cold,PA,PA,US-PA
17022,PA,17022,17022,17022,South,Cold,PA,PA,US-PA
17025,PA,17025,17025,17025,West,Cold,PA,PA,US-PA
17026,PA,17026,17026,17026,North,Cold,PA,PA,US-PA
17033,PA,17033,17033,17033,East,Cold,PA,PA,US-PA
17036,PA,17036,17036,17036,East,Cold,PA,PA,US-PA
17042,PA,17042,17042,17042,West,Cold,PA,PA,US-PA
17044,PA,17044,17044,17044,North,Cold,PA,PA,US-PA
17050,PA,17050,17050,17050,South,Cold,PA,PA,US-PA
17055,PA,17055,17055,17055,West,Cold,PA,PA,US-PA
17057,PA,17057,17057,17057,East,Cold,PA,PA,US-PA
17061,PA,17061,17061,17061,West,Cold,PA,PA,US-PA
17093,PA,17093,17093,17093,North,Cold,PA,PA,US-PA
17101,PA,17101,17101,17101,South,Cold,PA,PA,US-PA
17102,PA,17102,17102,17102,North,Cold,PA,PA,US-PA
17105,PA,17105,17105,17105,West,Cold,PA,PA,US-PA
17109,PA,17109,17109,17109,South,Cold,PA,PA,US-PA
17110,PA,17110,17110,17110,East,Cold,PA,PA,US-PA
17111,PA,17111,17111,17111,North,Cold,PA,PA,US-PA
17177,PA,17177,17177,17177,East,Cold,PA,PA,US-PA
17201,PA,17201,17201,17201,West,Cold,PA,PA,US-PA
17202,PA,17202,17202,17202,West,Cold,PA,PA,US-PA
17233,PA,17233,17233,17233,North,Cold,PA,PA,US-PA
17257,PA,17257,17257,17257,South,Cold,PA,PA,US-PA
17313,PA,17313,17313,17313,North,Cold,PA,PA,US-PA
17319,PA,17319,17319,17319,South,Cold,PA,PA,US-PA
17325,PA,17325,17325,17325,East,Cold,PA,PA,US-PA
17327,PA,17327,17327,17327,North,Cold,PA,PA,US-PA
17331,PA,17331,17331,17331,South,Cold,PA,PA,US-PA
17350,PA,17350,17350,17350,South,Cold,PA,PA,US-PA
17401,PA,17401,17401,17401,East,Cold,PA,PA,US-PA
17402,PA,17402,17402,17402,North,Cold,PA,PA,US-PA
17404,PA,17404,17404,17404,West,Cold,PA,PA,US-PA
17405,PA,17405,17405,17405,North,Cold,PA,PA,US-PA
17406,PA,17406,17406,17406,West,Cold,PA,PA,US-PA
17408,PA,17408,17408,17408,East,Cold,PA,PA,US-PA
17501,PA,17501,17501,17501,North,Cold,PA,PA,US-PA
17519,PA,17519,17519,17519,South,Cold,PA,PA,US-PA
17543,PA,17543,17543,17543,East,Cold,PA,PA,US-PA
17545,PA,17545,17545,17545,South,Cold,PA,PA,US-PA
17547,PA,17547,17547,17547,East,Cold,PA,PA,US-PA
17554,PA,17554,17554,17554,West,Cold,PA,PA,US-PA
17579,PA,17579,17579,17579,North,Cold,PA,PA,US-PA
17601,PA,17601,17601,17601,South,Cold,PA,PA,US-PA
17602,PA,17602,17602,17602,South,Cold,PA,PA,US-PA
17603,PA,17603,17603,17603,West,Cold,PA,PA,US-PA
17604,PA,17604,17604,17604,East,Cold,PA,PA,US-PA
17605,PA,17605,17605,17605,East,Cold,PA,PA,US-PA
17606,PA,17606,17606,17606,West,Cold,PA,PA,US-PA
17701,PA,17701,17701,17701,North,Cold,PA,PA,US-PA
17740,PA,17740,17740,17740,West,Cold,PA,PA,US-PA
17801,PA,17801,17801,17801,North,Cold,PA,PA,US-PA
17822,PA,17822,17822,17822,South,Cold,PA,PA,US-PA
17833,PA,17833,17833,17833,East,Cold,PA,PA,US-PA
17837,PA,17837,17837,17837,West,Cold,PA,PA,US-PA
17870,PA,17870,17870,17870,North,Cold,PA,PA,US-PA
17886,PA,17886,17886,17886,East,Cold,PA,PA,US-PA
17901,PA,17901,17901,17901,West,Cold,PA,PA,US-PA
18015,PA,18015,18015,18015,South,Cold,PA,PA,US-PA
18017,PA,18017,18017,18017,North,Cold,PA,PA,US-PA
18018,PA,18018,18018,18018,North,Cold,PA,PA,US-PA
18031,PA,18031,18031,18031,South,Cold,PA,PA,US-PA
18034,PA,18034,18034,18034,West,Cold,PA,PA,US-PA
18036,PA,18036,18036,18036,North,Cold,PA,PA,US-PA
18040,PA,18040,18040,18040,South,Cold,PA,PA,US-PA
18041,PA,18041,18041,18041,West,Cold,PA,PA,US-PA
18042,PA,18042,18042,18042,North,Cold,PA,PA,US-PA
18044,PA,18044,18044,18044,East,Cold,PA,PA,US-PA
18060,PA,18060,18060,18060,West,Cold,PA,PA,US-PA
18064,PA,18064,18064,18064,North,Cold,PA,PA,US-PA
18069,PA,18069,18069,18069,West,Cold,PA,PA,US-PA
18071,PA,18071,18071,18071,North,Cold,PA,PA,US-PA
18072,PA,18072,18072,18072,South,Cold,PA,PA,US-PA
18098,PA,18098,18098,18098,East,Cold,PA,PA,US-PA
18101,PA,18101,18101,18101,West,Cold,PA,PA,US-PA
18102,PA,18102,18102,18102,East,Cold,PA,PA,US-PA
18103,PA,18103,18103,18103,West,Cold,PA,PA,US-PA
18104,PA,18104,18104,18104,East,Cold,PA,PA,US-PA
18195,PA,18195,18195,18195,South,Cold,PA,PA,US-PA
18202,PA,18202,18202,18202,East,Cold,PA,PA,US-PA
18235,PA,18235,18235,18235,West,Cold,PA,PA,US-PA
18301,PA,18301,18301,18301,North,Cold,PA,PA,US-PA
18326,PA,18326,18326,18326,East,Cold,PA,PA,US-PA
18372,PA,18372,18372,18372,West,Cold,PA,PA,US-PA
18411,PA,18411,18411,18411,North,Cold,PA,PA,US-PA
18428,PA,18428,18428,18428,South,Cold,PA,PA,US-PA
18431,PA,18431,18431,18431,East,Cold,PA,PA,US-PA
18503,PA,18503,18503,18503,West,Cold,PA,PA,US-PA
18508,PA,18508,18508,18508,South,Cold,PA,PA,US-PA
18510,PA,18510,18510,18510,East,Cold,PA,PA,US-PA
18512,PA,18512,18512,18512,West,Cold,PA,PA,US-PA
18603,PA,18603,18603,18603,West,Cold,PA,PA,US-PA
18640,PA,18640,18640,18640,South,Cold,PA,PA,US-PA
18641,PA,18641,18641,18641,East,Cold,PA,PA,US-PA
18702,PA,18702,18702,18702,West,Cold,PA,PA,US-PA
18705,PA,18705,18705,18705,East,Cold,PA,PA,US-PA
18706,PA,18706,18706,18706,West,Cold,PA,PA,US-PA
18707,PA,18707,18707,18707,North,Cold,PA,PA,US-PA
18711,PA,18711,18711,18711,South,Cold,PA,PA,US-PA
18764,PA,18764,18764,18764,West,Cold,PA,PA,US-PA
18801,PA,18801,18801,18801,North,Cold,PA,PA,US-PA
18840,PA,18840,18840,18840,South,Cold,PA,PA,US-PA
18847,PA,18847,18847,18847,East,Cold,PA,PA,US-PA
18901,PA,18901,18901,18901,West,Cold,PA,PA,US-PA
18902,PA,18902,18902,18902,North,Cold,PA,PA,US-PA
18915,PA,18915,18915,18915,South,Cold,PA,PA,US-PA
18940,PA,18940,18940,18940,East,Cold,PA,PA,US-PA
18960,PA,18960,18960,18960,North,Cold,PA,PA,US-PA
18964,PA,18964,18964,18964,South,Cold,PA,PA,US-PA
18966,PA,18966,18966,18966,East,Cold,PA,PA,US-PA
18974,PA,18974,18974,18974,West,Cold,PA,PA,US-PA
18976,PA,18976,18976,18976,North,Cold,PA,PA,US-PA
19001,PA,19001,19001,19001,East,Cold,PA,PA,US-PA
19002,PA,19002,19002,19002,West,Cold,PA,PA,US-PA
19003,PA,19003,19003,19003,North,Cold,PA,PA,US-PA
19004,PA,19004,19004,19004,South,Cold,PA,PA,US-PA
19006,PA,19006,19006,19006,East,Cold,PA,PA,US-PA
19008,PA,19008,19008,19008,South,Cold,PA,PA,US-PA
19010,PA,19010,19010,19010,East,Cold,PA,PA,US-PA
19013,PA,19013,19013,19013,East,Cold,PA,PA,US-PA
19020,PA,19020,19020,19020,North,Cold,PA,PA,US-PA
19022,PA,19022,19022,19022,West,Cold,PA,PA,US-PA
19025,PA,19025,19025,19025,North,Cold,PA,PA,US-PA
19034,PA,19034,19034,19034,South,Cold,PA,PA,US-PA
19040,PA,19040,19040,19040,East,Cold,PA,PA,US-PA
19041,PA,19041,19041,19041,West,Cold,PA,PA,US-PA
19044,PA,19044,19044,19044,North,Warm,PA,PA,US-PA
19047,PA,19047,19047,19047,West,Cold,PA,PA,US-PA
19053,PA,19053,19053,19053,North,Cold,PA,PA,US-PA
19057,PA,19057,19057,19057,West,Cold,PA,PA,US-PA
19063,PA,19063,19063,19063,South,Cold,PA,PA,US-PA
19067,PA,19067,19067,19067,South,Cold,PA,PA,US-PA
19072,PA,19072,19072,19072,North,Cold,PA,PA,US-PA
19073,PA,19073,19073,19073,South,Cold,PA,PA,US-PA
19078,PA,19078,19078,19078,South,Cold,PA,PA,US-PA
19081,PA,19081,19081,19081,East,Cold,PA,PA,US-PA
19085,PA,19085,19085,19085,West,Cold,PA,PA,US-PA
19087,PA,19087,19087,19087,South,Hot,PA,PA,US-PA
19090,PA,19090,19090,19090,South,Cold,PA,PA,US-PA
19095,PA,19095,19095,19095,East,Cold,PA,PA,US-PA
19101,PA,19101,19101,19101,West,Cold,PA,PA,US-PA
19102,PA,19102,19102,19102,North,Warm,PA,PA,US-PA
19103,PA,19103,19103,19103,West,Hot,PA,PA,US-PA
19104,PA,19104,19104,19104,West,Cold,PA,PA,US-PA
19106,PA,19106,19106,19106,West,Warm,PA,PA,US-PA
19107,PA,19107,19107,19107,North,Cold,PA,PA,US-PA
19111,PA,19111,19111,19111,South,Cold,PA,PA,US-PA
19112,PA,19112,19112,19112,West,Cold,PA,PA,US-PA
19113,PA,19113,19113,19113,South,Cold,PA,PA,US-PA
19114,PA,19114,19114,19114,West,Cold,PA,PA,US-PA
19118,PA,19118,19118,19118,East,Cold,PA,PA,US-PA
19122,PA,19122,19122,19122,North,Cold,PA,PA,US-PA
19123,PA,19123,19123,19123,West,Cold,PA,PA,US-PA
19124,PA,19124,19124,19124,South,Cold,PA,PA,US-PA
19130,PA,19130,19130,19130,West,Cold,PA,PA,US-PA
19132,PA,19132,19132,19132,West,Cold,PA,PA,US-PA
19135,PA,19135,19135,19135,North,Cold,PA,PA,US-PA
19139,PA,19139,19139,19139,South,Cold,PA,PA,US-PA
19140,PA,19140,19140,19140,East,Cold,PA,PA,US-PA
19141,PA,19141,19141,19141,West,Cold,PA,PA,US-PA
19145,PA,19145,19145,19145,North,Cold,PA,PA,US-PA
19148,PA,19148,19148,19148,East,Cold,PA,PA,US-PA
19154,PA,19154,19154,19154,South,Cold,PA,PA,US-PA
19312,PA,19312,19312,19312,North,Warm,PA,PA,US-PA
19317,PA,19317,19317,19317,North,Cold,PA,PA,US-PA
19319,PA,19319,19319,19319,South,Cold,PA,PA,US-PA
19320,PA,19320,19320,19320,East,Cold,PA,PA,US-PA
19331,PA,19331,19331,19331,West,Cold,PA,PA,US-PA
19333,PA,19333,19333,19333,North,Cold,PA,PA,US-PA
19335,PA,19335,19335,19335,South,Cold,PA,PA,US-PA
19341,PA,19341,19341,19341,West,Warm,PA,PA,US-PA
19342,PA,19342,19342,19342,West,Cold,PA,PA,US-PA
19348,PA,19348,19348,19348,North,Cold,PA,PA,US-PA
19355,PA,19355,19355,19355,West,Warm,PA,PA,US-PA
19380,PA,19380,19380,19380,East,Cold,PA,PA,US-PA
19381,PA,19381,19381,19381,East,Cold,PA,PA,US-PA
19383,PA,19383,19383,19383,West,Cold,PA,PA,US-PA
19390,PA,19390,19390,19390,North,Cold,PA,PA,US-PA
19401,PA,19401,19401,19401,South,Cold,PA,PA,US-PA
19403,PA,19403,19403,19403,East,Cold,PA,PA,US-PA
19406,PA,19406,19406,19406,East,Hot,PA,PA,US-PA
19422,PA,19422,19422,19422,North,Warm,PA,PA,US-PA
19425,PA,19425,19425,19425,East,Cold,PA,PA,US-PA
19428,PA,19428,19428,19428,West,Warm,PA,PA,US-PA
19438,PA,19438,19438,19438,West,Cold,PA,PA,US-PA
19440,PA,19440,19440,19440,North,Cold,PA,PA,US-PA
19444,PA,19444,19444,19444,West,Cold,PA,PA,US-PA
19446,PA,19446,19446,19446,North,Cold,PA,PA,US-PA
19454,PA,19454,19454,19454,South,Cold,PA,PA,US-PA
19460,PA,19460,19460,19460,North,Cold,PA,PA,US-PA
19462,PA,19462,19462,19462,South,Cold,PA,PA,US-PA
19468,PA,19468,19468,19468,West,Cold,PA,PA,US-PA
19501,PA,19501,19501,19501,East,Cold,PA,PA,US-PA
19510,PA,19510,19510,19510,West,Cold,PA,PA,US-PA
19512,PA,19512,19512,19512,North,Cold,PA,PA,US-PA
19518,PA,19518,19518,19518,East,Cold,PA,PA,US-PA
19520,PA,19520,19520,19520,West,Cold,PA,PA,US-PA
19522,PA,19522,19522,19522,North,Cold,PA,PA,US-PA
19536,PA,19536,19536,19536,South,Cold,PA,PA,US-PA
19551,PA,19551,19551,19551,East,Cold,PA,PA,US-PA
19565,PA,19565,19565,19565,West,Cold,PA,PA,US-PA
19601,PA,19601,19601,19601,North,Cold,PA,PA,US-PA
19603,PA,19603,19603,19603,East,Cold,PA,PA,US-PA
19605,PA,19605,19605,19605,West,Cold,PA,PA,US-PA
19606,PA,19606,19606,19606,North,Cold,PA,PA,US-PA
19610,PA,19610,19610,19610,South,Cold,PA,PA,US-PA
19611,PA,19611,19611,19611,East,Cold,PA,PA,US-PA
19612,PA,19612,19612,19612,North,Cold,PA,PA,US-PA
20147,PA,20147,20147,20147,East,Cold,PA,PA,US-PA
20166,PA,20166,20166,20166,West,Warm,PA,PA,US-PA
20170,PA,20170,20170,20170,North,Cold,PA,PA,US-PA
20171,PA,20171,20171,20171,East,Hot,PA,PA,US-PA
20176,PA,20176,20176,20176,East,Cold,PA,PA,US-PA
20190,PA,20190,20190,20190,East,Hot,PA,PA,US-PA
20601,PA,20601,20601,20601,North,Cold,PA,PA,US-PA
21502,PA,21502,21502,21502,West,Cold,PA,PA,US-PA
22031,PA,22031,22031,22031,South,Warm,PA,PA,US-PA
22180,PA,22180,22180,22180,West,Cold,PA,PA,US-PA
56751,PA,56751,56751,56751,East,Cold,PA,PA,US-PA
56763,PA,56763,56763,56763,West,Cold,PA,PA,US-PA
PA,NE Cluster #1,US-PA,,,,,,,
04005,ME,04005,04005,04005,North,Cold,ME,ME,US-ME
04011,ME,04011,04011,04011,South,Cold,ME,ME,US-ME
04015,ME,04015,04015,04015,West,Cold,ME,ME,US-ME
04032,ME,04032,04032,04032,North,Cold,ME,ME,US-ME
04070,ME,04070,04070,04070,South,Cold,ME,ME,US-ME
04072,ME,04072,04072,04072,East,Cold,ME,ME,US-ME
04084,ME,04084,04084,04084,West,Cold,ME,ME,US-ME
04092,ME,04092,04092,04092,North,Cold,ME,ME,US-ME
04101,ME,04101,04101,04101,East,Warm,ME,ME,US-ME
04106,ME,04106,04106,04106,North,Cold,ME,ME,US-ME
04210,ME,04210,04210,04210,South,Cold,ME,ME,US-ME
04240,ME,04240,04240,04240,East,Cold,ME,ME,US-ME
04260,ME,04260,04260,04260,South,Cold,ME,ME,US-ME
04268,ME,04268,04268,04268,East,Cold,ME,ME,US-ME
04281,ME,04281,04281,04281,West,Cold,ME,ME,US-ME
04330,ME,04330,04330,04330,North,Cold,ME,ME,US-ME
04344,ME,04344,04344,04344,West,Cold,ME,ME,US-ME
04401,ME,04401,04401,04401,North,Cold,ME,ME,US-ME
04412,ME,04412,04412,04412,East,Cold,ME,ME,US-ME
04420,ME,04420,04420,04420,West,Cold,ME,ME,US-ME
04469,ME,04469,04469,04469,North,Cold,ME,ME,US-ME
04530,ME,04530,04530,04530,South,Cold,ME,ME,US-ME
04543,ME,04543,04543,04543,East,Cold,ME,ME,US-ME
04605,ME,04605,04605,04605,West,Cold,ME,ME,US-ME
04609,ME,04609,04609,04609,North,Cold,ME,ME,US-ME
04619,ME,04619,04619,04619,West,Cold,ME,ME,US-ME
04730,ME,04730,04730,04730,North,Cold,ME,ME,US-ME
04736,ME,04736,04736,04736,South,Cold,ME,ME,US-ME
04769,ME,04769,04769,04769,East,Cold,ME,ME,US-ME
04901,ME,04901,04901,04901,North,Cold,ME,ME,US-ME
04937,ME,04937,04937,04937,East,Cold,ME,ME,US-ME
04938,ME,04938,04938,04938,West,Cold,ME,ME,US-ME
04967,ME,04967,04967,04967,South,Cold,ME,ME,US-ME
04976,ME,04976,04976,04976,East,Cold,ME,ME,US-ME
04988,ME,04988,04988,04988,North,Cold,ME,ME,US-ME
ME,NE Cluster #1,US-ME,,,,,,,
NE Cluster #1,Northeast,,,,,,,,
05001,VT,05001,05001,05001,South,Cold,VT,VT,US-VT
05032,VT,05032,05032,05032,East,Cold,VT,VT,US-VT
05055,VT,05055,05055,05055,West,Cold,VT,VT,US-VT
05060,VT,05060,05060,05060,North,Cold,VT,VT,US-VT
05089,VT,05089,05089,05089,South,Cold,VT,VT,US-VT
05156,VT,05156,05156,05156,West,Cold,VT,VT,US-VT
05301,VT,05301,05301,05301,East,Cold,VT,VT,US-VT
05346,VT,05346,05346,05346,South,Cold,VT,VT,US-VT
05353,VT,05353,05353,05353,East,Cold,VT,VT,US-VT
05401,VT,05401,05401,05401,West,Cold,VT,VT,US-VT
05403,VT,05403,05403,05403,East,Cold,VT,VT,US-VT
05439,VT,05439,05439,05439,West,Cold,VT,VT,US-VT
05478,VT,05478,05478,05478,North,Cold,VT,VT,US-VT
05482,VT,05482,05482,05482,West,Cold,VT,VT,US-VT
05601,VT,05601,05601,05601,South,Cold,VT,VT,US-VT
05641,VT,05641,05641,05641,South,Cold,VT,VT,US-VT
05656,VT,05656,05656,05656,West,Cold,VT,VT,US-VT
05661,VT,05661,05661,05661,North,Cold,VT,VT,US-VT
05667,VT,05667,05667,05667,South,Cold,VT,VT,US-VT
05671,VT,05671,05671,05671,East,Cold,VT,VT,US-VT
05701,VT,05701,05701,05701,West,Cold,VT,VT,US-VT
05735,VT,05735,05735,05735,East,Cold,VT,VT,US-VT
05741,VT,05741,05741,05741,West,Cold,VT,VT,US-VT
05753,VT,05753,05753,05753,North,Cold,VT,VT,US-VT
05819,VT,05819,05819,05819,South,Cold,VT,VT,US-VT
05829,VT,05829,05829,05829,North,Cold,VT,VT,US-VT
05851,VT,05851,05851,05851,South,Cold,VT,VT,US-VT
05855,VT,05855,05855,05855,East,Cold,VT,VT,US-VT
51601,VT,51601,51601,51601,North,Cold,VT,VT,US-VT
63556,VT,63556,63556,63556,East,Cold,VT,VT,US-VT
64030,VT,64030,64030,64030,South,Cold,VT,VT,US-VT
64068,VT,64068,64068,64068,West,Cold,VT,VT,US-VT
64081,VT,64081,64081,64081,South,Cold,VT,VT,US-VT
64086,VT,64086,64086,64086,East,Cold,VT,VT,US-VT
64093,VT,64093,64093,64093,North,Cold,VT,VT,US-VT
64114,VT,64114,64114,64114,East,Cold,VT,VT,US-VT
64116,VT,64116,64116,64116,East,Cold,VT,VT,US-VT
64117,VT,64117,64117,64117,North,Cold,VT,VT,US-VT
64118,VT,64118,64118,64118,South,Cold,VT,VT,US-VT
64120,VT,64120,64120,64120,East,Cold,VT,VT,US-VT
64129,VT,64129,64129,64129,East,Cold,VT,VT,US-VT
64131,VT,64131,64131,64131,South,Cold,VT,VT,US-VT
64134,VT,64134,64134,64134,East,Cold,VT,VT,US-VT
64150,VT,64150,64150,64150,West,Cold,VT,VT,US-VT
64153,VT,64153,64153,64153,North,Cold,VT,VT,US-VT
64163,VT,64163,64163,64163,North,Cold,VT,VT,US-VT
64424,VT,64424,64424,64424,East,Cold,VT,VT,US-VT
64429,VT,64429,64429,64429,West,Cold,VT,VT,US-VT
64468,VT,64468,64468,64468,North,Cold,VT,VT,US-VT
